Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
ovarian,Izar2020,success,0.0490,0.0187,0.0046,-,-,-,100.0,ovarian_Izar2020
ovarian,Olalekan2021,success,0.4385,0.3061,0.4249,-,-,-,100.0,ovarian_Olalekan2021
ovarian,Olbrecht2021,success,0.7016,0.5225,0.7180,-,-,-,100.0,ovarian_Olbrecht2021
ovarian,Qian2020,success,0.7085,0.3750,0.7085,-,-,-,100.0,ovarian_Qian2020
ovarian,Shih2018,success,0.2691,0.0644,0.1697,-,-,-,100.0,ovarian_Shih2018
ovarian,Tang-Huau2018,success,0.9373,0.1382,0.9676,-,-,-,100.0,ovarian_Tang-Huau2018
ovarian,Zhang2022,success,0.0000,0.0000,0.0000,-,-,-,100.0,ovarian_Zhang2022
pancreas,Lin2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,pancreas_Lin2020
pancreas,Moncada2020,success,0.2495,0.3351,0.1777,-,-,-,100.0,pancreas_Moncada2020
pancreas,Peng2019,success,0.1219,0.1294,0.1377,-,-,-,100.0,pancreas_Peng2019
pancreas,Raghavan2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,pancreas_Raghavan2021
pancreas,Steele2020,success,0.6889,0.6155,0.6889,-,-,-,100.0,pancreas_Steele2020
prostate,Chen2021,success,0.0890,0.0234,0.0146,-,-,-,100.0,prostate_Chen2021
prostate,Dong2020,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,prostate_Dong2020
prostate,He2021,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,prostate_He2021
prostate,Song2022,success,0.3376,0.5136,0.3574,-,-,-,100.0,prostate_Song2022
scarcoma,Jerby-Arnon2021,success,0.0801,0.0297,0.0119,-,-,-,100.0,scarcoma_Jerby-Arnon2021
skin,Ji2020,success,0.3785,0.1223,0.3866,-,-,-,100.0,skin_Ji2020
skin,Li2019,success,0.4498,0.2273,0.3639,-,-,-,100.0,skin_Li2019
skin,Paulson2020,success,0.3341,0.1252,0.1674,-,-,-,100.0,skin_Paulson2020
skin,Yost2019,failed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,skin_Yost2019
